Region,City,Year,Quarter,Total
La Rioja,La Rioja,2011,3,1349.4
Ceuta,Ceuta,2011,3,1826.6
Melilla,Melilla,2011,3,1575.6
Andalucía,Total,2011,4,1433.9
Andalucía,Almería,2011,4,1288.4
Andalucía,Cádiz,2011,4,1600.8
Andalucía,Córdoba,2011,4,1341.5
Andalucía,Granada,2011,4,1275.2
Andalucía,Huelva,2011,4,1357.0
Andalucía,Jaén,2011,4,1004.0
Andalucía,Málaga,2011,4,1692.3
Andalucía,Sevilla,2011,4,1531.7
Aragón,Total,2011,4,1437.9
Aragón,Huesca,2011,4,1332.5
Aragón,Teruel,2011,4,958.5
Aragón,Zaragoza,2011,4,1544.0
Principado de Asturias,Asturias,2011,4,1552.4
Illes Balears,Illes Balears,2011,4,1934.6
Canarias,Total,2011,4,1428.5
Canarias,Las Palmas,2011,4,1424.7
Canarias,Santa Cruz de Tenerife,2011,4,1439.8
Cantabria,Cantabria,2011,4,1775.4
Castilla y León,Total,2011,4,1279.1
Castilla y León,Ávila,2011,4,1135.4
Castilla y León,Burgos,2011,4,1402.5
Castilla y León,León,2011,4,1099.9
Castilla y León,Palencia,2011,4,1125.9
Castilla y León,Salamanca,2011,4,1350.5
Castilla y León,Segovia,2011,4,1232.0
Castilla y León,Soria,2011,4,1299.4
Castilla y León,Valladolid,2011,4,1397.1
Castilla y León,Zamora,2011,4,1056.9
Castilla - La Mancha,Total,2011,4,1145.8
Castilla - La Mancha,Albacete,2011,4,1133.8
Castilla - La Mancha,Ciudad Real,2011,4,992.0
Castilla - La Mancha,Cuenca,2011,4,1008.6
Castilla - La Mancha,Guadalajara,2011,4,1401.4
Castilla - La Mancha,Toledo,2011,4,1115.8
Cataluña,Total,2011,4,2016.0
Cataluña,Barcelona,2011,4,2251.9
Cataluña,Girona,2011,4,1839.8
Cataluña,Lleida,2011,4,1230.9
Cataluña,Tarragona,2011,4,1594.9
Comunitat Valenciana,Total,2011,4,1317.1
Comunitat Valenciana,Alicante/Alacant,2011,4,1367.9
Comunitat Valenciana,Castellón/Castelló,2011,4,1339.7
Comunitat Valenciana,Valencia/València,2011,4,1273.6
Extremadura,Total,2011,4,962.8
Extremadura,Badajoz,2011,4,936.2
Extremadura,Cáceres,2011,4,1017.3
Galicia,Total,2011,4,1337.1
Galicia,A Coruña,2011,4,1342.3
Galicia,Lugo,2011,4,1000.4
Galicia,Ourense,2011,4,1097.2
Galicia,Pontevedra,2011,4,1423.3
Comunidad de Madrid,Madrid,2011,4,2229.6
Región de Murcia,Murcia,2011,4,1208.7
Comunidad Foral de Navarra,Navarra,2011,4,1421.4
País Vasco,Total,2011,4,2540.4
País Vasco,Araba/Álava,2011,4,2289.1
País Vasco,Gipuzkoa,2011,4,2696.7
País Vasco,Bizkaia,2011,4,2538.6
La Rioja,La Rioja,2011,4,1295.0
Ceuta,Ceuta,2011,4,1774.8
Melilla,Melilla,2011,4,1660.7
Andalucía,Total,2012,1,1374.1
Andalucía,Almería,2012,1,1247.8
Andalucía,Cádiz,2012,1,1594.1
Andalucía,Córdoba,2012,1,1319.1
Andalucía,Granada,2012,1,1214.7
Andalucía,Huelva,2012,1,1349.3
Andalucía,Jaén,2012,1,958.2
Andalucía,Málaga,2012,1,1678.4
Andalucía,Sevilla,2012,1,1476.4
Aragón,Total,2012,1,1427.9
Aragón,Huesca,2012,1,1391.8
Aragón,Teruel,2012,1,951.5
Aragón,Zaragoza,2012,1,1514.5
Principado de Asturias,Asturias,2012,1,1500.8
Illes Balears,Illes Balears,2012,1,1869.8
Canarias,Total,2012,1,1436.9
Canarias,Las Palmas,2012,1,1416.8
Canarias,Santa Cruz de Tenerife,2012,1,1466.8
Cantabria,Cantabria,2012,1,1724.2
Castilla y León,Total,2012,1,1220.8
Castilla y León,Ávila,2012,1,1129.1
Castilla y León,Burgos,2012,1,1334.2
Castilla y León,León,2012,1,1032.3
Castilla y León,Palencia,2012,1,1105.4
Castilla y León,Salamanca,2012,1,1314.9
Castilla y León,Segovia,2012,1,1209.0
Castilla y León,Soria,2012,1,1329.1
Castilla y León,Valladolid,2012,1,1315.9
Castilla y León,Zamora,2012,1,990.9
Castilla - La Mancha,Total,2012,1,1091.0
Castilla - La Mancha,Albacete,2012,1,1093.1
Castilla - La Mancha,Ciudad Real,2012,1,961.6
Castilla - La Mancha,Cuenca,2012,1,923.8
Castilla - La Mancha,Guadalajara,2012,1,1369.1
Castilla - La Mancha,Toledo,2012,1,1057.7
Cataluña,Total,2012,1,1945.5
Cataluña,Barcelona,2012,1,2178.1
Cataluña,Girona,2012,1,1765.8
Cataluña,Lleida,2012,1,1200.7
Cataluña,Tarragona,2012,1,1501.9
Comunitat Valenciana,Total,2012,1,1254.1
Comunitat Valenciana,Alicante/Alacant,2012,1,1288.1
Comunitat Valenciana,Castellón/Castelló,2012,1,1342.7
Comunitat Valenciana,Valencia/València,2012,1,1204.7
Extremadura,Total,2012,1,920.4
Extremadura,Badajoz,2012,1,899.7
Extremadura,Cáceres,2012,1,962.1
Galicia,Total,2012,1,1277.7
Galicia,A Coruña,2012,1,1293.1
Galicia,Lugo,2012,1,952.5
Galicia,Ourense,2012,1,1052.3
Galicia,Pontevedra,2012,1,1345.1
Comunidad de Madrid,Madrid,2012,1,2161.0
Región de Murcia,Murcia,2012,1,1163.4
Comunidad Foral de Navarra,Navarra,2012,1,1376.9
País Vasco,Total,2012,1,2526.0
País Vasco,Araba/Álava,2012,1,2249.6
País Vasco,Gipuzkoa,2012,1,2735.3
País Vasco,Bizkaia,2012,1,2491.9
La Rioja,La Rioja,2012,1,1300.1
Ceuta,Ceuta,2012,1,1794.3
Melilla,Melilla,2012,1,1624.4
Andalucía,Total,2012,2,1339.7
Andalucía,Almería,2012,2,1181.8
Andalucía,Cádiz,2012,2,1507.2
Andalucía,Córdoba,2012,2,1333.1
Andalucía,Granada,2012,2,1227.9
Andalucía,Huelva,2012,2,1354.0
Andalucía,Jaén,2012,2,911.6
Andalucía,Málaga,2012,2,1652.6
Andalucía,Sevilla,2012,2,1417.6
Aragón,Total,2012,2,1376.7
Aragón,Huesca,2012,2,1418.9
Aragón,Teruel,2012,2,913.3
Aragón,Zaragoza,2012,2,1434.6
Principado de Asturias,Asturias,2012,2,1487.0
Illes Balears,Illes Balears,2012,2,1845.2
Canarias,Total,2012,2,1375.5
Canarias,Las Palmas,2012,2,1362.2
Canarias,Santa Cruz de Tenerife,2012,2,1395.2
Cantabria,Cantabria,2012,2,1748.1
Castilla y León,Total,2012,2,1217.3
Castilla y León,Ávila,2012,2,1139.3
Castilla y León,Burgos,2012,2,1370.8
Castilla y León,León,2012,2,1033.3
Castilla y León,Palencia,2012,2,1074.4
Castilla y León,Salamanca,2012,2,1280.9
Castilla y León,Segovia,2012,2,1198.6
Castilla y León,Soria,2012,2,1268.4
Castilla y León,Valladolid,2012,2,1326.7
Castilla y León,Zamora,2012,2,998.7
Castilla - La Mancha,Total,2012,2,1054.5
Castilla - La Mancha,Albacete,2012,2,1064.2
Castilla - La Mancha,Ciudad Real,2012,2,910.3
Castilla - La Mancha,Cuenca,2012,2,868.9
Castilla - La Mancha,Guadalajara,2012,2,1308.1
Castilla - La Mancha,Toledo,2012,2,1045.5
Cataluña,Total,2012,2,1881.4
Cataluña,Barcelona,2012,2,2106.1
Cataluña,Girona,2012,2,1696.0
Cataluña,Lleida,2012,2,1146.4
Cataluña,Tarragona,2012,2,1467.3
Comunitat Valenciana,Total,2012,2,1210.9
Comunitat Valenciana,Alicante/Alacant,2012,2,1255.4
Comunitat Valenciana,Castellón/Castelló,2012,2,1286.0
Comunitat Valenciana,Valencia/València,2012,2,1168.6
Extremadura,Total,2012,2,897.6
Extremadura,Badajoz,2012,2,902.4
Extremadura,Cáceres,2012,2,906.8
Galicia,Total,2012,2,1271.8
Galicia,A Coruña,2012,2,1339.1
Galicia,Lugo,2012,2,936.6
Galicia,Ourense,2012,2,1004.9
Galicia,Pontevedra,2012,2,1295.5
Comunidad de Madrid,Madrid,2012,2,2099.8
Región de Murcia,Murcia,2012,2,1150.7
Comunidad Foral de Navarra,Navarra,2012,2,1351.7
País Vasco,Total,2012,2,2490.9
País Vasco,Araba/Álava,2012,2,2250.5
País Vasco,Gipuzkoa,2012,2,2697.0
País Vasco,Bizkaia,2012,2,2445.3
La Rioja,La Rioja,2012,2,1300.3
