Region,City,Year,Quarter,Total
Comunitat Valenciana,Total,2010,3,1404.1
Comunitat Valenciana,Alicante/Alacant,2010,3,1399.5
Comunitat Valenciana,Castellón/Castelló,2010,3,1456.8
Comunitat Valenciana,Valencia/València,2010,3,1377.4
Extremadura,Total,2010,3,969.3
Extremadura,Badajoz,2010,3,983.9
Extremadura,Cáceres,2010,3,946.8
Galicia,Total,2010,3,1403.1
Galicia,A Coruña,2010,3,1398.4
Galicia,Lugo,2010,3,1019.6
Galicia,Ourense,2010,3,1151.7
Galicia,Pontevedra,2010,3,1536.9
Comunidad de Madrid,Madrid,2010,3,2493.9
Región de Murcia,Murcia,2010,3,1314.7
Comunidad Foral de Navarra,Navarra,2010,3,1475.1
País Vasco,Total,2010,3,2597.1
País Vasco,Araba/Álava,2010,3,2230.2
País Vasco,Gipuzkoa,2010,3,2686.7
País Vasco,Bizkaia,2010,3,2633.4
La Rioja,La Rioja,2010,3,1448.2
Ceuta,Ceuta,2010,3,1785.7
Melilla,Melilla,2010,3,1581.7
Andalucía,Total,2010,4,1544.8
Andalucía,Almería,2010,4,1416.3
Andalucía,Cádiz,2010,4,1714.2
Andalucía,Córdoba,2010,4,1295.7
Andalucía,Granada,2010,4,1302.0
Andalucía,Huelva,2010,4,1485.8
Andalucía,Jaén,2010,4,1021.6
Andalucía,Málaga,2010,4,1859.0
Andalucía,Sevilla,2010,4,1622.5
Aragón,Total,2010,4,1603.3
Aragón,Huesca,2010,4,1405.5
Aragón,Teruel,2010,4,953.7
Aragón,Zaragoza,2010,4,1750.7
Principado de Asturias,Asturias,2010,4,1610.3
Illes Balears,Illes Balears,2010,4,2069.2
Canarias,Total,2010,4,1542.8
Canarias,Las Palmas,2010,4,1597.4
Canarias,Santa Cruz de Tenerife,2010,4,1474.4
Cantabria,Cantabria,2010,4,1835.3
Castilla y León,Total,2010,4,1355.5
Castilla y León,Ávila,2010,4,1186.9
Castilla y León,Burgos,2010,4,1638.8
Castilla y León,León,2010,4,1123.8
Castilla y León,Palencia,2010,4,1181.2
Castilla y León,Salamanca,2010,4,1405.7
Castilla y León,Segovia,2010,4,1400.8
Castilla y León,Soria,2010,4,1345.5
Castilla y León,Valladolid,2010,4,1471.3
Castilla y León,Zamora,2010,4,1088.0
Castilla - La Mancha,Total,2010,4,1212.4
Castilla - La Mancha,Albacete,2010,4,1205.3
Castilla - La Mancha,Ciudad Real,2010,4,980.3
Castilla - La Mancha,Cuenca,2010,4,970.2
Castilla - La Mancha,Guadalajara,2010,4,1573.6
Castilla - La Mancha,Toledo,2010,4,1151.7
Cataluña,Total,2010,4,2181.3
Cataluña,Barcelona,2010,4,2461.1
Cataluña,Girona,2010,4,1934.6
Cataluña,Lleida,2010,4,1264.1
Cataluña,Tarragona,2010,4,1684.8
Comunitat Valenciana,Total,2010,4,1412.4
Comunitat Valenciana,Alicante/Alacant,2010,4,1381.5
Comunitat Valenciana,Castellón/Castelló,2010,4,1482.7
Comunitat Valenciana,Valencia/València,2010,4,1386.3
Extremadura,Total,2010,4,982.3
Extremadura,Badajoz,2010,4,991.7
Extremadura,Cáceres,2010,4,971.1
Galicia,Total,2010,4,1436.9
Galicia,A Coruña,2010,4,1448.6
Galicia,Lugo,2010,4,1035.7
Galicia,Ourense,2010,4,1179.9
Galicia,Pontevedra,2010,4,1557.7
Comunidad de Madrid,Madrid,2010,4,2451.9
Región de Murcia,Murcia,2010,4,1284.0
